Code;datum;maand;mndnr
IN007967;11-02-2021;02-2021;02
IN007968;11-02-2021;02-2021;02
IN007969;11-02-2021;02-2021;02
IN007970;11-02-2021;02-2021;02
IN007971;11-02-2021;02-2021;02
IN007972;11-02-2021;02-2021;02
IN007973;11-02-2021;02-2021;02
IN007974;11-02-2021;02-2021;02
IN007975;11-02-2021;02-2021;02
IN007976;11-02-2021;02-2021;02
IN007977;11-02-2021;02-2021;02
IN007978;11-02-2021;02-2021;02
IN007979;11-02-2021;02-2021;02
IN007980;11-02-2021;02-2021;02
IN007981;11-02-2021;02-2021;02
IN007982;11-02-2021;02-2021;02
IN007983;11-02-2021;02-2021;02
IN007984;11-02-2021;02-2021;02
IN007985;11-02-2021;02-2021;02
IN007986;11-02-2021;02-2021;02
IN007987;11-02-2021;02-2021;02
IN007988;11-02-2021;02-2021;02
IN007989;11-02-2021;02-2021;02
IN007990;11-02-2021;02-2021;02
IN007991;11-02-2021;02-2021;02
IN007992;11-02-2021;02-2021;02
IN007993;11-02-2021;02-2021;02
IN007994;11-02-2021;02-2021;02
IN007995;11-02-2021;02-2021;02
IN007996;11-02-2021;02-2021;02
IN007997;11-02-2021;02-2021;02
IN007998;11-02-2021;02-2021;02
IN007999;11-02-2021;02-2021;02
IN008000;11-02-2021;02-2021;02
IN008001;11-02-2021;02-2021;02
IN008002;11-02-2021;02-2021;02
IN008003;11-02-2021;02-2021;02
IN008004;11-02-2021;02-2021;02
IN008005;11-02-2021;02-2021;02
IN008006;11-02-2021;02-2021;02
IN008007;11-02-2021;02-2021;02
IN008008;11-02-2021;02-2021;02
IN008009;11-02-2021;02-2021;02
IN008010;11-02-2021;02-2021;02
IN008011;11-02-2021;02-2021;02
IN008012;11-02-2021;02-2021;02
IN008013;11-02-2021;02-2021;02
IN008014;11-02-2021;02-2021;02
IN008015;11-02-2021;02-2021;02
IN008016;11-02-2021;02-2021;02
IN008017;11-02-2021;02-2021;02
IN008018;11-02-2021;02-2021;02
IN008019;11-02-2021;02-2021;02
IN008020;11-02-2021;02-2021;02
IN008021;12-02-2021;02-2021;02
IN008022;12-02-2021;02-2021;02
IN008023;12-02-2021;02-2021;02
IN008024;12-02-2021;02-2021;02
IN008025;12-02-2021;02-2021;02
IN008026;12-02-2021;02-2021;02
IN008027;12-02-2021;02-2021;02
IN008028;12-02-2021;02-2021;02
IN008029;12-02-2021;02-2021;02
IN008030;12-02-2021;02-2021;02
IN008031;12-02-2021;02-2021;02
IN008032;12-02-2021;02-2021;02
